	mc
WMC2944135	32
WMC2944136	38
WMC2944138	18
WMC2944141	38
WMC2944144	36
WMC2944151	11
WMC2944152	24
WMC2944154	34
WMC2944157	20
WMC2944160	19
WMC2944163	21
WMC2944164	26
WMC2944165	34
WMC2944166	1
WMC2944167	12
WMC2944169	11
WMC2944171	21
WMC2944172	28
WMC2944173	20
WMC2944178	32
WMC2944179	40
WMC2944180	1
WMC2944182	24
WMC2944185	37
WMC2944187	13
WMC2944188	23
WMC2944193	7
WMC2944194	27
WMC2944195	19
WMC2944196	34
WMC2944198	22
WMC2944202	22
WMC2944203	28
WMC2944204	32
WMC2944205	22
WMC2944206	28
WMC2944209	34
WMC2944211	19
WMC2944212	33
WMC2944214	40
WMC2944215	2
WMC2944216	33
WMC2944217	15
WMC2944218	23
WMC2944219	38
WMC2944220	37
WMC2944221	15
WMC2944222	33
WMC2944223	34
WMC2944224	20
WMC2944225	1
WMC2944227	24
WMC2944228	35
WMC2944230	36
WMC2944234	29
WMC2944236	34
WMC2944239	34
WMC2944240	29
WMC2944242	34
WMC2944246	8
WMC2944247	13
WMC2944248	11
WMC2944251	1
WMC2944259	25
WMC2944267	38
WMC2944268	3
WMC2944269	38
WMC2944270	1
WMC2944276	25
WMC2944278	23
WMC2944282	12
WMC2944290	30
WMC2944291	21
WMC2944292	16
WMC2944293	1
WMC2944295	7
WMC2944296	16
WMC2944297	27
WMC2944298	39
WMC2944299	13
WMC2944301	20
WMC2944302	22
WMC2944303	19
WMC2944304	23
WMC2944305	39
WMC2944306	12
WMC2944307	38
WMC2944308	33
WMC2944309	19
WMC2944310	27
WMC2944311	20
WMC2944312	23
WMC2944313	29
WMC2944314	10
WMC2944315	17
WMC2944316	37
WMC2944317	1
WMC2944318	39
WMC2944319	15
WMC2944321	36
WMC2944323	7
WMC2944325	6
WMC2944326	18
WMC2944327	28
WMC2944328	39
WMC2944329	39
WMC2944330	19
WMC2944332	23
WMC2944336	31
WMC2944337	8
WMC2944339	1
WMC2944340	26
WMC2944341	33
WMC2944342	11
WMC2944343	12
WMC2944347	20
WMC2944349	39
WMC2944350	21
WMC2944351	39
WMC2944352	40
WMC2944361	40
WMC2944364	12
WMC2944370	25
WMC2944372	30
WMC2944374	19
WMC2944376	11
WMC2944388	2
WMC2944389	8
WMC2944392	37
WMC2944393	39
WMC2944394	23
WMC2944395	40
WMC2944396	2
WMC2944397	24
WMC2944398	23
WMC2944400	38
WMC2944401	7
WMC2944403	12
WMC2944404	30
WMC2944405	28
WMC2944406	39
WMC2944409	18
WMC2944410	24
WMC2944412	16
WMC2944413	23
WMC2944414	15
WMC2944415	1
WMC2944419	21
WMC2944421	36
WMC2944426	1
WMC2944428	29
WMC2944434	31
WMC2944438	35
WMC2944440	27
WMC2944441	6
WMC2944447	20
WMC2944448	23
WMC2944449	16
WMC2944450	20
WMC2944451	22
WMC2944452	34
WMC2944455	38
WMC2944457	39
WMC2944458	18
WMC2944463	35
WMC2944464	31
WMC2944466	2
WMC2944467	35
WMC2944472	40
WMC2944474	27
WMC2944481	33
WMC2944482	32
WMC2944483	1
WMC2944484	24
WMC2944485	1
WMC2944486	29
WMC2944487	28
WMC2944488	20
WMC2944490	19
WMC2944492	29
WMC2944493	17
WMC2944495	24
WMC2944496	40
