	mc
WMC2493741	24
WMC2493746	28
WMC2493748	26
WMC2493752	28
WMC2493753	25
WMC2493754	28
WMC2493755	24
WMC2493756	24
WMC2493757	26
WMC2493758	29
WMC2493759	26
WMC2493760	26
WMC2493763	28
WMC2493773	25
WMC2493774	25
WMC2493780	25
WMC2493782	26
WMC2493786	26
WMC2493788	24
WMC2493789	26
WMC2493792	26
WMC2493793	26
WMC2493797	27
WMC2493798	28
WMC2493799	28
WMC2493800	26
WMC2493801	25
WMC2493803	25
WMC2493804	26
WMC2493805	27
WMC2493807	28
WMC2493809	26
WMC2493813	26
WMC2493815	29
WMC2493817	26
WMC2493820	26
WMC2493821	29
WMC2493822	24
WMC2493825	27
WMC2493827	28
WMC2493828	24
WMC2493829	29
WMC2493841	24
WMC2493844	26
WMC2493846	26
WMC2493847	25
WMC2493849	29
WMC2493851	25
WMC2493853	28
WMC2493856	28
WMC2494242	32
WMC2494256	31
WMC2494257	31
WMC2494258	15
WMC2494259	31
WMC2494261	31
WMC2494265	32
WMC2494277	31
WMC2494278	35
WMC2494279	31
WMC2494281	9
WMC2494283	32
WMC2494287	23
WMC2494293	31
WMC2494300	31
WMC2494301	31
WMC2494307	31
WMC2494308	31
WMC2494309	31
WMC2494312	31
WMC2494317	1
WMC2494321	31
WMC2494323	17
WMC2494324	31
WMC2494326	12
WMC2494328	1
WMC2494329	15
WMC2494374	16
WMC2494388	31
WMC2494406	31
WMC2494426	12
WMC2494472	12
WMC2494482	18
WMC2494491	19
WMC2494500	34
WMC2494507	31
WMC2494543	31
WMC2494548	31
WMC2494568	17
WMC2494570	34
WMC2494578	24
WMC2494580	35
WMC2494615	31
WMC2494626	9
WMC2494628	32
WMC2494634	34
WMC2494635	3
WMC2494639	32
WMC2494640	33
WMC2494641	23
WMC2494642	31
WMC2494643	13
WMC2494644	17
WMC2494646	33
WMC2494647	23
WMC2494649	12
WMC2494650	32
WMC2494652	4
WMC2494653	23
WMC2494655	35
WMC2494657	23
WMC2494659	23
WMC2494660	30
WMC2494663	32
WMC2494668	10
WMC2494669	13
WMC2494675	33
WMC2494676	7
WMC2494677	31
WMC2494684	32
WMC2494687	30
WMC2494688	14
WMC2494690	19
WMC2494691	33
WMC2494692	20
WMC2494693	8
WMC2494695	23
WMC2494698	23
WMC2494699	32
WMC2494700	13
WMC2494702	23
WMC2494703	23
WMC2494706	23
WMC2494708	32
WMC2494709	32
WMC2494713	23
WMC2494714	32
WMC2494716	5
WMC2494717	32
WMC2494732	13
WMC2494743	32
WMC2494747	30
WMC2494760	32
WMC2494766	33
WMC2494767	13
WMC2494774	23
WMC2494775	14
WMC2494778	32
WMC2494781	35
WMC2494791	35
WMC2494792	14
WMC2494795	11
WMC2494796	30
WMC2494797	31
WMC2494798	31
WMC2494799	32
WMC2494807	31
WMC2494835	32
WMC2494844	32
WMC2494845	32
WMC2494852	12
WMC2494870	32
WMC2494875	8
WMC2494879	34
WMC2494881	9
WMC2494899	23
WMC2494902	32
WMC2494904	32
WMC2494906	12
WMC2494918	35
WMC2494927	14
WMC2494934	2
WMC2494939	32
WMC2494942	15
WMC2494959	13
WMC2494962	30
WMC2494966	32
WMC2494973	23
WMC2494980	9
WMC2494981	32
WMC2494991	14
WMC2494999	33
WMC2495001	23
WMC2495002	5
WMC2495005	10
WMC2495009	28
WMC2495010	28
WMC2495012	25
WMC2495013	26
WMC2495015	28
