	mc
WMC3424268	59
WMC3424269	54
WMC3424272	52
WMC3424274	54
WMC3424275	53
WMC3424278	59
WMC3424279	53
WMC3424283	53
WMC3424288	52
WMC3424289	28
WMC3424290	22
WMC3424292	32
WMC3424295	48
WMC3424297	40
WMC3424298	38
WMC3424299	33
WMC3424301	23
WMC3424303	31
WMC3424306	33
WMC3424307	30
WMC3424308	33
WMC3424309	28
WMC3424310	40
WMC3424311	48
WMC3424315	23
WMC3424316	6
WMC3424317	22
WMC3424318	30
WMC3424319	35
WMC3424320	41
WMC3424322	34
WMC3424323	23
WMC3424324	22
WMC3424325	4
WMC3424326	31
WMC3424327	31
WMC3424328	49
WMC3424329	41
WMC3424330	9
WMC3424331	48
WMC3424332	35
WMC3424333	23
WMC3424334	25
WMC3424335	24
WMC3424336	41
WMC3424337	22
WMC3424339	47
WMC3424340	33
WMC3424341	44
WMC3424342	18
WMC3424343	33
WMC3424344	44
WMC3424345	7
WMC3424346	38
WMC3424347	12
WMC3424348	44
WMC3424349	29
WMC3424350	50
WMC3424351	49
WMC3424354	47
WMC3424355	27
WMC3424356	23
WMC3424357	32
WMC3424359	45
WMC3424360	43
WMC3424361	47
WMC3424362	8
WMC3424363	2
WMC3424364	38
WMC3424365	8
WMC3424366	42
WMC3424367	38
WMC3424370	8
WMC3424371	12
WMC3424372	17
WMC3424373	38
WMC3424374	6
WMC3424375	40
WMC3424376	33
WMC3424378	33
WMC3424379	40
WMC3424381	39
WMC3424383	39
WMC3424384	34
WMC3424389	37
WMC3424391	42
WMC3424397	6
WMC3424399	16
WMC3424404	32
WMC3424405	12
WMC3424407	37
WMC3424411	17
WMC3424413	30
WMC3424414	29
WMC3424417	48
WMC3424420	37
WMC3424423	2
WMC3424429	40
WMC3424430	22
WMC3424431	8
WMC3424432	30
WMC3424433	10
WMC3424435	30
WMC3424437	48
WMC3424438	28
WMC3424439	39
WMC3424440	42
WMC3424447	36
WMC3424448	14
WMC3424450	20
WMC3424451	43
WMC3424452	37
WMC3424453	31
WMC3424454	33
WMC3424455	51
WMC3424456	12
WMC3424457	17
WMC3424460	39
WMC3424461	34
WMC3424462	38
WMC3424463	34
WMC3424467	19
WMC3424468	37
WMC3424469	43
WMC3424471	48
WMC3424472	39
WMC3424474	22
WMC3424477	44
WMC3424479	39
WMC3424481	43
WMC3424482	13
WMC3424483	31
WMC3424485	11
WMC3424487	39
WMC3424495	37
WMC3424496	19
WMC3424497	27
WMC3424500	33
WMC3424501	54
WMC3424507	32
WMC3424508	41
WMC3424509	38
WMC3424510	34
WMC3424511	15
WMC3424517	31
WMC3424519	39
WMC3424521	27
WMC3424524	39
WMC3424525	21
WMC3424527	33
WMC3424528	36
WMC3424529	31
WMC3424530	16
WMC3424533	51
WMC3424534	43
WMC3424536	43
WMC3424537	36
WMC3424540	10
WMC3424543	39
WMC3424544	4
WMC3424547	51
WMC3424548	50
WMC3424549	30
WMC3424551	33
WMC3424552	34
WMC3424555	30
WMC3424556	13
WMC3424557	49
WMC3424558	47
WMC3424562	38
WMC3424565	22
WMC3424566	33
WMC3424567	35
WMC3424568	34
WMC3424569	47
WMC3424570	24
WMC3424571	45
WMC3424572	29
WMC3424575	50
WMC3424577	31
WMC3424579	35
WMC3424580	35
WMC3424581	13
WMC3424585	7
WMC3424586	46
WMC3424588	38
WMC3424589	22
WMC3424591	31
WMC3424592	9
WMC3424593	18
WMC3424594	34
WMC3424595	19
WMC3424596	2
WMC3424599	24
WMC3424601	48
WMC3424603	31
WMC3424604	38
WMC3424605	44
